image,psnr,ssim
000001.png,22.22700642752107,0.6779315720402089
000002.png,19.454594590578097,0.5808243797037583
000003.png,22.010445912865112,0.6735039627855782
000004.png,18.13573071260192,0.5343001631347137
000005.png,18.70668586785409,0.5489085934997164
000006.png,21.83589832970484,0.6600760362479483
000007.png,22.118106466663654,0.6834046768219536
000008.png,22.47470792723377,0.6873457401125466
000009.png,21.446201086053343,0.6630760324485979
000010.png,21.814915696740904,0.6673219969280385
000011.png,20.714528413202427,0.6106662880646309
000012.png,21.674952270153433,0.6585243390382325
000013.png,22.562948881770083,0.7229647816848646
000014.png,21.91362936435104,0.6704193012575596
000015.png,23.308122372589544,0.7164780582980613
000016.png,18.652283233004702,0.5652499662443778
000017.png,22.13086025364224,0.6582598459551275
000018.png,18.225085782815093,0.5618043081305544
000019.png,18.590405106462185,0.5691949596791105
000020.png,20.379265849074592,0.6262438710894288
000021.png,19.28801037010161,0.5584944584505281
000022.png,20.383742390222377,0.6240443868537984
000023.png,20.95242755208399,0.6484917370416262
000024.png,22.022390215902995,0.6666741766159099
000025.png,19.627462456690473,0.5819930257196138
000026.png,19.754707689612538,0.5863540157485302
000027.png,21.485594437983938,0.6574747835801009
000028.png,21.70252193382799,0.6681036582351894
000029.png,21.012422128946532,0.6465664770346063
000030.png,22.79870220944371,0.7065985057963022
000031.png,22.147601930242075,0.6978875335820102
000032.png,22.631167171995695,0.7150357043349479
000033.png,22.88775401157949,0.7328337743607486
000034.png,18.138929803688562,0.5492816374992657
000035.png,20.891321886796494,0.6327232471714562
000036.png,20.330156269132004,0.6194261813650522
000037.png,18.785880078372873,0.5515388892700708
000038.png,19.093307652541615,0.5594201286657858
000039.png,17.85181828787209,0.5575398150130222
000040.png,19.880687826456096,0.6429748886593506
000041.png,18.93241925357411,0.5882925631741787
000042.png,17.831605093930044,0.5615269604355394
000043.png,19.701611176282682,0.6257835925291181
000044.png,20.330749348374827,0.6576233068819718
000045.png,20.365149616233808,0.6190153312191508
000046.png,20.68631410422784,0.6535453629071881
000047.png,20.210724593796357,0.6469142411486001
000048.png,17.53460863177771,0.4849270529200307
000049.png,18.921517663570864,0.5711407015259516
000050.png,19.109785482074784,0.5632853423815876
000051.png,19.85615648659199,0.5837880668822764
000052.png,19.41516251232509,0.5398300844663303
000053.png,17.747110612593026,0.49829342380999714
000054.png,19.79190757967459,0.5748369913494463
000055.png,18.126055532746047,0.5386892281025766
000056.png,19.860949266560212,0.5804745917557993
000057.png,17.85382082226932,0.5282105114605652
000058.png,17.65415292897406,0.49901254297355874
000059.png,21.897093532307807,0.6813475511566883
000060.png,18.18728649291828,0.4996062788349902
000061.png,19.537991178944168,0.5981989507892215
000062.png,18.31237309543786,0.5453057452913278
000063.png,20.443862036461844,0.6266510238070004
000064.png,18.64584680238528,0.5125633677980065
000065.png,19.427532342192602,0.5818697959222695
000066.png,21.892220557567743,0.6896980479289893
000067.png,21.780829769187623,0.6942711743534121
000068.png,22.6277349266431,0.73695691035689
000069.png,21.963861974369934,0.6933217039793008
000070.png,17.894220165132573,0.5542103814960696
000071.png,17.9663640202876,0.52507283573555
000072.png,19.61035817879577,0.606976347522528
000073.png,17.84580593056625,0.5290384922422223
000074.png,19.44863219442057,0.5897570646295344
000075.png,20.421321913028997,0.6178058351552901
000076.png,18.96220363516621,0.5659634324863415
000077.png,18.995239709131077,0.55238052010221
000078.png,17.83593477465874,0.5096064344776137
000079.png,20.187735238698007,0.5961043830260307
000080.png,23.018413650652512,0.7295494908635473
000081.png,21.513045851978255,0.653883100578482
000082.png,22.16968935038137,0.6857708220563596
000083.png,22.05695260122927,0.6657895612574111
000084.png,19.627927594982644,0.571455448667919
000085.png,20.05177643355385,0.5822372488911006
000086.png,19.356589902257483,0.5588854812957353
000087.png,20.40619516388623,0.6007023471899711
000088.png,21.142535370891085,0.6658131742556616
000089.png,20.28012670094577,0.593547044900379
000090.png,21.01009954837214,0.6526822185872138
000091.png,19.83914965349443,0.5859514652442984
000092.png,18.291589633379935,0.5664652060740457
000093.png,21.371102878537318,0.6396175148090669
000094.png,22.836466026524466,0.7248849009308751
000095.png,22.84370138667255,0.7245296130603825
000096.png,17.741074054370177,0.5084717115247429
000097.png,17.906582041534463,0.5228761769555175
000098.png,20.373911456905507,0.6127186483892609
000099.png,21.28024225797825,0.6739473147727315
000100.png,21.100196232638506,0.6292417305332635
000101.png,18.696509378067063,0.4591847516032664
000102.png,18.150131722324105,0.42900647790613927
000103.png,18.238197890873277,0.44238534728353457
000104.png,19.253843643297955,0.48266331464495593
000105.png,18.550905236834485,0.4476785857719318
000106.png,18.35741206598961,0.43955277537245613
000107.png,18.509873158697584,0.45554804983043984
000108.png,19.174198284700537,0.4828284192107995
000109.png,18.615742502397673,0.4478254880796014
000110.png,21.224535567207703,0.5569060539094447
000111.png,20.568278512448014,0.5246861743057263
000112.png,19.215515033541053,0.4670352559915549
000113.png,19.685845305442655,0.4882293336268748
000114.png,18.969514301458698,0.45901939883636184
000115.png,20.895036000887195,0.5325374961907569
000116.png,20.23889345409591,0.501391777210768
000117.png,20.843702024924053,0.5327553325162877
000118.png,20.578685837547255,0.5168419079987895
000119.png,19.624604815657406,0.4570123562937893
000120.png,18.85691216047657,0.42738143372070486
